feature_id,dataset_id,file_id,file_name,feature_name,feature_type,feature_distinct,feature_missing
93,376235,5,Military Expenditure,2016,float64,192,67
94,376235,5,Military Expenditure,2017,float64,190,69
95,376235,5,Military Expenditure,2018,float64,190,68
96,2368258,6,olympics_medals_country_wise,ioc_code ,object,156,0
97,2368258,6,olympics_medals_country_wise,summer_participations,int64,30,0
98,2368258,6,olympics_medals_country_wise,summer_gold,object,52,0
99,2368258,6,olympics_medals_country_wise,summer_silver,int64,59,0
100,2368258,6,olympics_medals_country_wise,summer_bronze,int64,61,0
101,2368258,6,olympics_medals_country_wise,summer_total,object,84,0
102,2368258,6,olympics_medals_country_wise,winter_participations,int64,24,0
103,2368258,6,olympics_medals_country_wise,winter_gold,int64,29,0
104,2368258,6,olympics_medals_country_wise,winter_silver,int64,29,0
105,2368258,6,olympics_medals_country_wise,winter_bronze,int64,29,0
106,2368258,6,olympics_medals_country_wise,winter_total,int64,36,0
107,2368258,6,olympics_medals_country_wise,total_participation,int64,48,0
108,2368258,6,olympics_medals_country_wise,total_gold,object,57,0
109,2368258,6,olympics_medals_country_wise,total_silver,int64,60,0
110,2368258,6,olympics_medals_country_wise,total_bronze,int64,65,0
111,2368258,6,olympics_medals_country_wise,total_total ,object,84,0
112,806968,7,holidays_df_of_67_countries_for_covid_19,holiday,object,575,0
113,806968,7,holidays_df_of_67_countries_for_covid_19,ds,object,221,0
114,806968,7,holidays_df_of_67_countries_for_covid_19,country,object,67,0
115,806968,7,holidays_df_of_67_countries_for_covid_19,code,object,67,0
116,806968,7,holidays_df_of_67_countries_for_covid_19,country_official_name,object,67,0
117,806968,7,holidays_df_of_67_countries_for_covid_19,lower_window,int64,1,0
118,806968,7,holidays_df_of_67_countries_for_covid_19,upper_window,int64,1,0
119,806968,7,holidays_df_of_67_countries_for_covid_19,prior_scale,int64,1,0
120,806968,7,holidays_df_of_67_countries_for_covid_19,source,object,6,0
121,806968,8,holidays_df_of_70_countries_for_covid_19,holiday,object,611,0
122,806968,8,holidays_df_of_70_countries_for_covid_19,ds,object,229,0
123,806968,8,holidays_df_of_70_countries_for_covid_19,country,object,70,0
124,806968,8,holidays_df_of_70_countries_for_covid_19,code,object,70,0
125,806968,8,holidays_df_of_70_countries_for_covid_19,country_official_name,object,70,0
126,806968,8,holidays_df_of_70_countries_for_covid_19,lower_window,int64,1,0
127,806968,8,holidays_df_of_70_countries_for_covid_19,upper_window,int64,1,0
128,806968,8,holidays_df_of_70_countries_for_covid_19,prior_scale,int64,1,0
129,806968,8,holidays_df_of_70_countries_for_covid_19,source,object,4,0
130,806968,9,holidays_df_of_70_countries_for_covid_19_2021,holiday,object,685,0
131,806968,9,holidays_df_of_70_countries_for_covid_19_2021,ds,object,463,0
132,806968,9,holidays_df_of_70_countries_for_covid_19_2021,country,object,70,0
133,806968,9,holidays_df_of_70_countries_for_covid_19_2021,code,object,70,0
134,806968,9,holidays_df_of_70_countries_for_covid_19_2021,country_official_name,object,70,0
135,806968,9,holidays_df_of_70_countries_for_covid_19_2021,lower_window,int64,1,0
136,806968,9,holidays_df_of_70_countries_for_covid_19_2021,upper_window,int64,1,0
137,806968,9,holidays_df_of_70_countries_for_covid_19_2021,prior_scale,int64,1,0
138,806968,9,holidays_df_of_70_countries_for_covid_19_2021,source,object,4,0
139,806968,10,holidays_df_of_70_countries_for_covid_19_2022_Temporary,holiday,object,700,0
140,806968,10,holidays_df_of_70_countries_for_covid_19_2022_Temporary,ds,object,690,0
141,806968,10,holidays_df_of_70_countries_for_covid_19_2022_Temporary,country,object,70,0
142,806968,10,holidays_df_of_70_countries_for_covid_19_2022_Temporary,code,object,70,0
143,806968,10,holidays_df_of_70_countries_for_covid_19_2022_Temporary,country_official_name,object,70,0
144,806968,10,holidays_df_of_70_countries_for_covid_19_2022_Temporary,lower_window,int64,1,0
145,806968,10,holidays_df_of_70_countries_for_covid_19_2022_Temporary,upper_window,int64,1,0
146,806968,10,holidays_df_of_70_countries_for_covid_19_2022_Temporary,prior_scale,int64,1,0
147,806968,10,holidays_df_of_70_countries_for_covid_19_2022_Temporary,source,object,4,0
