did,column_name,column_description
2368258,fullPathNullable,subject > health and fitness > exercise > sports > water sports
2368258,ref,water sports
2368258,name,water sports
2368258,hasName,True
2368258,description,
2368258,hasDescription,False
2368258,fullPath,subject > health and fitness > exercise > sports > water sports
2368258,hasFullPath,True
2368258,competitionCount,0
2368258,datasetCount,30
2368258,scriptCount,6
2368258,totalCount,36
2368258,nameNullable,global
2368258,descriptionNullable,A country is a region that is identified as a distinct national entity in political geography.
2368258,fullPathNullable,geography and places > global
2368258,ref,global
2368258,name,global
2368258,hasName,True
2368258,description,A country is a region that is identified as a distinct national entity in political geography.
2368258,hasDescription,True
2368258,fullPath,geography and places > global
2368258,hasFullPath,True
2368258,competitionCount,0
2368258,datasetCount,708
2368258,scriptCount,232
2368258,totalCount,940
2368258,nameNullable,sports
2368258,descriptionNullable,"The sports tag covers the whole spectrum of sports around the world. We've got tennis, we've got football, and we've even got kitefoil racing."
2368258,fullPathNullable,subject > health and fitness > exercise > sports
2368258,ref,sports
2368258,name,sports
2368258,hasName,True
2368258,description,"The sports tag covers the whole spectrum of sports around the world. We've got tennis, we've got football, and we've even got kitefoil racing."
2368258,hasDescription,True
2368258,fullPath,subject > health and fitness > exercise > sports
2368258,hasFullPath,True
2368258,competitionCount,23
2368258,datasetCount,5034
2368258,scriptCount,3331
2368258,totalCount,8388
2368258,nameNullable,exploratory data analysis
2368258,descriptionNullable,
2368258,fullPathNullable,technique > exploratory data analysis
2368258,ref,exploratory data analysis
2368258,name,exploratory data analysis
2368258,hasName,True
2368258,description,
2368258,hasDescription,False
2368258,fullPath,technique > exploratory data analysis
2368258,hasFullPath,True
2368258,competitionCount,0
2368258,datasetCount,2635
2368258,scriptCount,27199
2368258,totalCount,29834
2368258,nameNullable,data visualization
2368258,descriptionNullable,"The art of depicting data in a visual format. Using charts and graphs, it is easier to observe patterns, relationships, and outliers."
2368258,fullPathNullable,technique > data visualization
2368258,ref,data visualization
2368258,name,data visualization
2368258,hasName,True
2368258,description,"The art of depicting data in a visual format. Using charts and graphs, it is easier to observe patterns, relationships, and outliers."
2368258,hasDescription,True
2368258,fullPath,technique > data visualization
2368258,hasFullPath,True
2368258,competitionCount,0
2368258,datasetCount,3580
2368258,scriptCount,30207
2368258,totalCount,33787
806968,nameNullable,health
806968,descriptionNullable,Consider the health tag your data science gym. Get in there and work out those data science muscles on health analytics. Analyze heart disease until you sweat. Then recover with with a nice candy production dataset.
806968,fullPathNullable,subject > health and fitness > health
806968,ref,health
806968,name,health
806968,hasName,True
806968,description,Consider the health tag your data science gym. Get in there and work out those data science muscles on health analytics. Analyze heart disease until you sweat. Then recover with with a nice candy production dataset.
806968,hasDescription,True
806968,fullPath,subject > health and fitness > health
806968,hasFullPath,True
806968,competitionCount,7
806968,datasetCount,8876
806968,scriptCount,7539
806968,totalCount,16422
806968,nameNullable,time series analysis
806968,descriptionNullable,
806968,fullPathNullable,technique > time series analysis
806968,ref,time series analysis
806968,name,time series analysis
806968,hasName,True
806968,description,
806968,hasDescription,False
806968,fullPath,technique > time series analysis
806968,hasFullPath,True
806968,competitionCount,39
806968,datasetCount,1650
806968,scriptCount,2902
806968,totalCount,4591
806968,nameNullable,holidays and cultural events
806968,descriptionNullable,
806968,fullPathNullable,subject > people and society > people > holidays and cultural events
806968,ref,holidays and cultural events
806968,name,holidays and cultural events
806968,hasName,True
806968,description,
806968,hasDescription,False
806968,fullPath,subject > people and society > people > holidays and cultural events
806968,hasFullPath,True
806968,competitionCount,4
806968,datasetCount,566
806968,scriptCount,136
806968,totalCount,706
806968,nameNullable,travel
806968,descriptionNullable,
806968,fullPathNullable,subject > people and society > business > travel
806968,ref,travel
806968,name,travel
806968,hasName,True
806968,description,
806968,hasDescription,False
806968,fullPath,subject > people and society > business > travel
806968,hasFullPath,True
806968,competitionCount,0
806968,datasetCount,3959
806968,scriptCount,1324
806968,totalCount,5283
806968,nameNullable,covid19
806968,descriptionNullable,COVID-19 is a disease that is caused by the SARS-CoV-2 virus. In 2020 there was a global COVID-19 pandemic.
806968,fullPathNullable,subject > health and fitness > health > health conditions > diseases > covid19
806968,ref,covid19
806968,name,covid19
806968,hasName,True
806968,description,COVID-19 is a disease that is caused by the SARS-CoV-2 virus. In 2020 there was a global COVID-19 pandemic.
806968,hasDescription,True
806968,fullPath,subject > health and fitness > health > health conditions > diseases > covid19
806968,hasFullPath,True
806968,competitionCount,9
806968,datasetCount,1774
806968,scriptCount,2456
806968,totalCount,4239
